id,facility_type,name,sido,sigungu,address,doctor_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
1173,요양병원,풍경요양병원,경남,양산시,"경상남도 양산시 하북면 양산대로 2634, 지하1, 1~4층",2,35.49395935994927,129.09139372307783, ,,교육연구및복지시설,3391.54,0.0,3.5397450655070806,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),미상,기타,45
1174,요양병원,프라미스요양병원,충남,천안동남구,"충청남도 천안시 동남구 천안대로 215, B1~3(일부)층 (삼룡동)",7,36.76749370753379,127.16509922525194,20030528,,제1종근린생활시설,8520.03,0.0,2.1719720758811016,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,65
1175,요양병원,프라임요양병원,대구,대구북구,"대구광역시 북구 신암로 111, 4~8층 (대현동)",7,35.880870711328285,128.61129885770862, ,,제1종근린생활시설,9942.9,0.0,0.1828723526956844,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),미상,기타,65
1176,요양병원,프라임요양병원,경남,창녕군,"경상남도 창녕군 고암면 상대2길 16, 더케이서드에이지",3,35.5781265322378,128.5125725535337,20090617,,노유자시설,39260.38,0.0,4.300385540391503,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),일반 (2000~2015년),기타,45
1177,요양병원,플러스요양병원,서울,성북구,"서울특별시 성북구 솔샘로1길 19, 그린존 1~7층 (정릉동)",5,37.60826471951814,127.003928298036,20231113,,의료시설,4997.4,0.0,1.4629724113604807,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
1178,요양병원,필립요양병원,경기,남양주시,"경기도 남양주시 경춘로1308번길 2, 3~7층 (평내동)",3,37.649964269942274,127.23802546572236,20140527,,제1종근린생활시설,5715.55,0.0,0.8747130713811673,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,65
1179,요양병원,하나노인전문병원,충북,청주서원구,"충청북도 청주시 서원구 대림로 431-0, 하나노인전문병원",4,36.61032616464074,127.44181256646206,20060912,,의료시설,6011.37,0.0,1.899726155459129,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
1180,요양병원,하나요양병원,경북,포항남구,"경상북도 포항시 남구 포스코대로 382,  (대도동)",5,36.01546670831604,129.36427487532774,20170427,,의료시설,4830.11,0.0,0.9849039530179559,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1181,요양병원,하나효요양병원,서울,은평구,"서울특별시 은평구 서오릉로 149, 세웅그룹빌딩 3~9층 (구산동)",6,37.61163573309253,126.9161862760512,19950508,, ,473.1,0.0,0.8843742920701163,소규모 (연면적 1000㎡ 미만),근거리 (1km 미만),노후 (2000년 이전),기타,65
1182,요양병원,하남샬롬요양병원,경기,하남시,"경기도 하남시 신평로 77, (신장동)",5,37.5405139743506,127.20615806116601,20130415,,의료시설,2155.68,0.0,1.2226761807560338,중규모 (연면적 1000~3000㎡),중거리 (1~3km),일반 (2000~2015년),기타,80
1183,요양병원,하남요양병원,경기,하남시,"경기도 하남시 산곡동로 94-5, (하산곡동)",3,37.51193668471167,127.22759408940625,20151224,,의료시설,2241.28,0.0,3.086082864451422,중규모 (연면적 1000~3000㎡),원거리 (3km 초과),일반 (2000~2015년),기타,80
1184,요양병원,하이온요양병원,광주,광주동구,"광주광역시 동구 독립로 276, (대인동)",1,35.15526840271074,126.9122469962933,20140319,,업무시설,2834.01,0.0,0.24787606610661095,중규모 (연면적 1000~3000㎡),근거리 (1km 미만),일반 (2000~2015년),기타,65
