id,facility_type,name,sido,sigungu,address,capacity,caregiver_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
2565,요양원,행복나래 요양원,,이천시,이천시 양진로24번길 36 (사음동),29,19,37.29598915889553,127.42257922887012,20210326,,노유자시설,671.68,0.0,1.726694605437938,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,100
2566,요양원,꽃가람요양원,,이천시,이천시 마장면 억만리로 39 3층 (마장면),29,16,37.25905100589492,127.35956204471924,20250704,,노유자시설,2674.04,0.0,1.0608679305313995,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,100
2567,요양원,더베스트실버케어,,이천시,이천시 마장면 작촌로 140 (마장면),49,26,37.24507678409567,127.34269737607968,20230313,,노유자시설,1383.45,0.0,1.4067532682624788,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,100
2568,요양원,더누림요양원,,이천시,"이천시 부발읍 황무로1366번길 41 4동2,3,4층 (부발읍)",49,1,37.28929348223093,127.48879154555833,20150327,,노유자시설,190.25,0.0,1.296711722183858,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,80
2569,요양원,복덩이요양원,,이천시,이천시 부발읍 중부대로 1622-16 (부발읍),29,8,37.287078726574464,127.4869462235258, ,, ,0.0,0.0,1.2363214567424226,중규모 (10~49인),중거리 (1~3km),미상,기타,45
2570,요양원,소망의집,,안성시,안성시 원곡면 평동길 113-68 (원곡면),22,15,37.06878565244267,127.11400348449453,20111017,,노유자시설,640.03,0.0,4.273890194404125,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,60
2571,요양원,성베드로의집,,안성시,안성시 시미실길 251 (사곡동),123,72,37.038680720036595,127.25965211477317,,,,,,2.209205410617121,대규모 (50인 이상),중거리 (1~3km),미상,기타,100
2572,요양원,무지개뜨는마을,,안성시,안성시 미양면 법전길 330-36 (미양면),85,50,36.94417813609594,127.20679785435175,20170425,,노유자시설,4480.61,0.0,4.301309491130336,대규모 (50인 이상),원거리 (3km 초과),신축 (2015년 이후),기타,80
2573,요양원,구세군안성평화의마을,,안성시,안성시 발화대1길 36-5 (발화동),70,35,36.983609476214724,127.28059905007595,20041227,,교육연구및복지시설,1629.74,0.0,1.900398779820126,대규모 (50인 이상),중거리 (1~3km),일반 (2000~2015년),기타,65
2574,요양원,파라밀 요양원,,안성시,안성시 죽산면 녹배길 135 (죽산면),165,79,37.0659781166571,127.38890579288677, ,, ,42.48,0.0,3.116611235946556,대규모 (50인 이상),원거리 (3km 초과),미상,기타,45
